name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,log_kms_driven
Royal Enfield Classic 350,175000,5,1,0,350,87958.71405750798,5.860786223465865
Honda Dio,45000,7,1,0,5650,87958.71405750798,8.639587799629844
Royal Enfield Classic Gunmetal Grey,150000,6,1,0,12000,148114.0,9.392745258631441
Yamaha Fazer FI V 2.0 [2016-2018],65000,9,1,0,23000,89643.0,10.043292972227004
Yamaha SZ [2013-2014],20000,13,1,0,21000,87958.71405750798,9.952325334619427
Honda CB Twister,18000,14,1,0,60000,53857.0,11.002116507732017
Honda CB Hornet 160R,78500,6,1,0,17000,87719.0,9.741027444837728
Royal Enfield Bullet 350 [2007-2011],180000,16,1,0,39000,87958.71405750798,10.571342565808699
Hero Honda CBZ extreme,30000,14,1,0,32000,87958.71405750798,10.373522431293592
Bajaj Discover 125,50000,8,1,0,42000,60122.0,10.645448706505872
Yamaha FZ16,35000,9,1,0,32000,78712.0,10.373522431293592
Honda Navi,28000,8,1,0,10000,47255.0,9.210440366976517
Bajaj Avenger Street 220,80000,6,1,0,21178,95955.0,9.960765403687601
Yamaha YZF R3,365000,5,1,0,1127,351680.0,7.028201432058005
Jawa 42,185000,4,1,0,1700,87958.71405750798,7.438971592395862
Suzuki Access 125 [2007-2016],25000,12,1,0,55000,58314.0,10.915106645867503
Hero Honda Glamour,25000,18,1,0,27000,87958.71405750798,10.203629181337648
Yamaha YZF R15 S,40000,14,1,0,45000,117926.0,10.714439990727769
Royal Enfield Classic Gunmetal Grey,150000,6,1,0,23000,148114.0,10.043292972227004
Yamaha FZ25,120000,6,1,0,39000,132680.0,10.571342565808699
Hero Passion Pro 110,15000,16,1,0,60000,87958.71405750798,11.002116507732017
Honda Navi [2016-2017],26000,8,1,0,17450,44389.0,9.767152232578871
Honda Activa i,32000,11,1,0,20696,53900.0,9.937744041214218
Jawa Standard,180000,5,1,0,2000,87958.71405750798,7.601402334583733
Royal Enfield Thunderbird 350,110000,8,1,0,20000,87958.71405750798,9.90353755128617
Honda Dream Yuga,25000,12,1,0,35000,56147.0,10.463131911491967
TVS Apache RTR 160 4V,80000,6,1,0,15210,87958.71405750798,9.629774129311743
Honda Navi [2016-2017],42000,7,1,0,24000,44389.0,10.085850775128717
Yamaha Fazer [2009-2016],40000,11,1,0,35000,84751.0,10.463131911491967
Hero Honda Splendor NXG,21000,15,1,0,10000,87958.71405750798,9.210440366976517
Hero Glamour 125,55000,7,1,0,2500,61600.0,7.824445930877619
Yamaha FZ S [2012-2016],38000,11,1,0,75000,79432.0,11.225256725762893
Hero Xtreme Sports,43000,8,1,0,50000,78350.0,10.819798284210286
Honda X-Blade,65000,6,1,0,27000,87958.71405750798,10.203629181337648
Honda CB Shine SP,62000,5,1,0,10000,71049.0,9.210440366976517
Honda Activa 5G,60000,6,1,0,6502,57557.0,8.780018887869153
Hero Glamour 125,45000,6,1,0,21000,61600.0,9.952325334619427
Honda CBR-250R,120000,8,1,0,16000,202310.0,9.680406499268875
Hero Honda Passion PRO [2012],30000,13,1,0,42000,87958.71405750798,10.645448706505872
Royal Enfield Thunderbird 350,90000,9,1,0,13000,87958.71405750798,9.472781556562168
Bajaj Dominar 400,125000,7,1,0,12800,87958.71405750798,9.45727857185611
Hero Glamour FI,50000,6,1,0,20000,71150.0,9.90353755128617
KTM 390 Duke,175000,7,1,0,4600,87958.71405750798,8.434028950155469
Hero Passion XPro,28000,12,1,0,81000,56750.0,11.302216779257382
Yamaha FZ S V 2.0,85000,6,1,0,8000,84042.0,8.987321812850125
Hero Achiever 150,29900,8,1,0,55000,69750.0,10.915106645867503
Bajaj Discover 125,25000,13,1,0,57000,60122.0,10.950824090522445
Yamaha FZ16,30000,15,1,0,26000,78712.0,10.165890277802454
Yamaha Saluto,60000,6,1,0,13000,59844.0,9.472781556562168
Yamaha FZ16,35000,12,1,0,29000,78712.0,10.275085591132715
Bajaj Discover 100,25000,14,1,0,43000,42859.0,10.668978650219241
Honda CB Trigger,30000,9,1,0,40000,73413.0,10.596659732783579
Royal Enfield Electra 5 S,90000,14,1,0,40000,87958.71405750798,10.596659732783579
Hero Splendor PRO,35000,9,1,0,24000,49900.0,10.085850775128717
Honda Activa 5G,70000,5,1,0,3000,59422.0,8.006700845440367
Hero Honda Passion Plus,25000,18,1,0,75000,87958.71405750798,11.225256725762893
Bajaj Pulsar 150,25000,14,1,0,42000,87958.71405750798,10.645448706505872
Royal Enfield Bullet 350,90000,10,1,0,13000,87958.71405750798,9.472781556562168
Bajaj Discover 125,25000,11,1,0,55000,57549.0,10.915106645867503
Bajaj Pulsar 150 [2001-2011],42000,13,1,0,23000,87958.71405750798,10.043292972227004
Hero Splendor PRO,35000,9,1,0,24000,51994.0,10.085850775128717
Hero Xtreme Sports,50000,10,1,0,80000,80350.0,11.289794413577894
Honda Activa 3G,30000,9,1,0,39000,54605.0,10.571342565808699
Yamaha FZ16,48000,8,1,0,20000,78712.0,9.90353755128617
Honda CB Hornet 160R,65000,8,1,0,30000,88161.0,10.308985993422082
Royal Enfield Thunderbird 350,85000,11,1,0,21000,87958.71405750798,9.952325334619427
Hero Hunk,45000,10,1,0,41000,78513.0,10.62135173563291
Suzuki Let''s,34000,10,1,0,8000,50098.0,8.987321812850125
Royal Enfield Electra 4 S,90000,16,1,0,50000,87958.71405750798,10.819798284210286
TVS Scooty Pep Plus,35000,12,1,0,8150,87958.71405750798,9.005895898094458
Mahindra Mojo XT300,165000,7,1,0,1933,195500.0,7.56734567601324
TVS Apache RTR 160,35000,11,1,0,55750,87958.71405750798,10.928650626381225
Bajaj Pulsar AS200,65000,9,1,0,15856,92074.0,9.671366322189568
Bajaj Pulsar 150,29500,11,1,0,27000,87958.71405750798,10.203629181337648
Royal Enfield Thunderbird 350X,165000,5,1,0,3700,164004.0,8.216358332386156
